path,#multi,nodes,type
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\18864_00002_WYP_DYJ_stamp_2021_01_27_15_44.ano.eswc,3,"[5512, 10483, 31123]",R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\18864_00015_LJ_SYY_LJ_SYY_stamp_2021_01_27_14_40.ano.eswc,3,"[9136, 16346, 22927]",R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\18864_00021_SYY_WYP_SYY_WYP_stamp_2021_01_27_14_21.ano.eswc,13,"[3313, 4700, 9855, 25585, 25618, 25948, 26372, 28015, 48137, 50231, 59213, 72642, 73957]",R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\18864_00023_LJ_SYY_stamp_2021_01_27_15_45.ano.eswc,3,"[2065, 3712, 4930]",R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\18864_00025_LJ_SYY_stamp_2021_01_27_14_48.ano.eswc,15,"[1983, 1985, 2771, 4743, 4883, 7795, 11155, 19593, 24944, 26603, 37232, 39428, 43214, 45219, 47231]",R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\18864_00026_SYY_WYP_SYY_WYP_stamp_2021_01_19_10_53.ano.eswc,21,"[3598, 4413, 5839, 6194, 7746, 17020, 20665, 21152, 22346, 32123, 39839, 40793, 54686, 69639, 80900, 86456, 86814, 88783, 91002, 96795, 97028]",R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\18864_00029_DYJ_YLL_DYJ_YLL_stamp_2021_01_27_16_35.ano.eswc,10,"[82, 6585, 18934, 23386, 27923, 29822, 31462, 33000, 41010, 41506]",R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\18864_00040_WYP_DYJ_stamp_2021_01_27_15_57.ano.eswc,3,"[3735, 36788, 53215]",R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\18864_00043_SYY_WYP_SYY_WYP_stamp_2021_01_27_14_26.ano.eswc,13,"[2807, 5237, 6454, 7369, 8084, 9686, 11882, 14839, 14843, 17489, 28700, 35685, 50934]",R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\18864_00057_SYY_WYP_SYY_WYP_stamp_2021_01_27_14_29.ano.eswc,17,"[1847, 8334, 8961, 10820, 14806, 25014, 27817, 29660, 30134, 36896, 37702, 66551, 66599, 69984, 69992, 71122, 78474]",R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\18864_00114_LJ_SYY_LJ_SYY_stamp_2021_01_27_15_01.ano.eswc,4,"[3793, 6325, 9939, 17245]",R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\18864_00117_DYJ_YLL_DYJ_YLL_stamp_2021_01_27_16_37.ano.eswc,5,"[3143, 4462, 5348, 22132, 30751]",R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\18864_00119_WYP_DYJ_stamp_2021_01_27_16_01.ano.eswc,4,"[1657, 11422, 22535, 34083]",R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\18864_00313_WYP_DYJ_stamp_2021_01_27_16_23.ano.eswc,6,"[2291, 4808, 24427, 25869, 33817, 35761]",R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\18869_00025_YLL_LJ&SYY_stamp_2021_01_27_14_15.ano.eswc,6,"[6410, 7203, 9658, 10327, 14328, 15009]",R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\pre_17543_01053_ZLL_YLL_ZLL_YLL_ZLL_YLL_ZLL_YLL_stamp_2021_01_19_10_54.ano.eswc,3,"[2650, 7520, 18985]",R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\pre_17543_01090_YLL_WYP_YLL_WYP_YLL_ZLL_YLL_ZLLstamp_2020_12_17_09_26_stamp_2021_01_19_11_05.ano.eswc,1,[791],R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\pre_17543_01139_YLL_WYP_YLL_WYP_YLL_ZLLstamp_2020_12_15_17_28_stamp_2021_01_19_11_08.ano.eswc,1,[1490],R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\pre_17543_01171_ZLL_YLL_ZLL_YLL_ZLL_YLL_ZLL_YLL_stamp_2021_01_19_11_18.ano.eswc,8,"[2329, 9752, 11815, 28639, 37535, 44325, 45688, 49843]",R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\pre_17543_01241_YLL_WYP_YLL_WYP_YLL_stamp_2021_01_19_11_13.ano.eswc,0,[],R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\pre_17543_01274_YLL_ZZL_YLL_ZLL_YLL_ZLL_stamp_2021_01_19_11_19.ano.eswc,1,[16831],R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\pre_17543_01276_YLL_ZLL_YLL_ZLL_YLL_ZLL_stamp_2021_01_19_11_22.ano.eswc,2,"[212, 5978]",R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\pre_17781_00066_CX_WYP_CX_WYP_CX_WYP_stamp_2021_01_19_11_43.ano.eswc,3,"[1440, 19036, 20562]",R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\pre_18047_00009_LJ_SYY_SYY_stamp_2021_01_19_11_16.ano.eswc,8,"[20, 7119, 13101, 15698, 17444, 19933, 23025, 27946]",R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\pre_182712_00003_DYJ_YLL_DYJ_YLL_stamp_2021_01_27_13_55.ano.eswc,2,"[656, 3966]",R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\pre_182712_00004_DYJ_YLL_DYJ_YLL_stamp_2021_01_27_13_57.ano.eswc,3,"[3933, 4420, 5678]",R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\pre_182712_00027_DYJ_YLL_DYJ_YLL_DYJ_YLL_stamp_2021_01_27_14_00.ano.eswc,2,"[17515, 20419]",R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\pre_18454_00305_YLL_LJ_YLL_LJ_stamp_2021_01_27_15_07.ano.eswc,1,[2955],R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\pre_18454_00376_YLL_LJ_YLL_LJ_YLL_LJ_stamp_2021_01_27_14_14.ano.eswc,1,[2905],R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\pre_18454_00377_YLL_LJ&SYY_YLL_SYY&LJ_stamp_2021_01_27_14_13.ano.eswc,0,[],R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\pre_18454_00450_YLL_LJ_YLL_LJ_stamp_2021_01_27_14_12.ano.eswc,2,"[2124, 8582]",R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\pre_18454_00579_YLL_LJ_YLL_LJ_stamp_2021_01_27_14_11.ano.eswc,0,[],R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\pre_18454_00865_YLL_LJ_YLL_LJ_YLL_LJ_stamp_2021_01_27_14_11.ano.eswc,3,"[3405, 14328, 14574]",R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\pre_18455_00109_SYY_DYJCX_stamp_2021_01_27_14_39.ano.eswc,0,[],R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\pre_18455_00241_SYY_DYJCX_stamp_2021_01_27_14_42.ano.eswc,0,[],R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\pre_18458_00150_LJ_SYY_LJ_SYY_LJ_SYY_stamp_2021_01_19_12_34.ano.eswc,12,"[153, 4386, 7064, 15529, 23014, 23152, 34405, 48618, 60988, 66839, 69550, 70740]",R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\pre_18458_00348_DYJ_YW_DYJ_YW_DYJ_YW_stamp_2021_01_27_14_02.ano.eswc,0,[],R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\pre_18458_00351_SYY_DYJ&CX_stamp_2021_01_27_14_44.ano.eswc,2,"[1406, 1927]",R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\pre_18458_00354_DYJ_YW_DYJ_YW_stamp_2021_01_27_14_04.ano.eswc,0,[],R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\pre_18458_00356_DYJ_YW_DYJ_YW_stamp_2021_01_27_14_05.ano.eswc,0,[],R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\pre_18458_00357_DYJ_YW_DYJ_YW_stamp_2021_01_27_14_06.ano.eswc,1,[62],R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\pre_18458_00360_DYJ_YW_DYJ_YW_stamp_2021_01_27_14_06.ano.eswc,1,[2891],R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\pre_18458_00367_DYJ_YW_DYJ_YW_stamp_2021_01_27_14_07.ano.eswc,0,[],R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\pre_18458_00369_DYJ_YW_DYJ_YW_DYJ_YLL_stamp_2021_01_27_14_08.ano.eswc,0,[],R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\pre_18458_00373_DYJ_YW_DYJ_YW_stamp_2021_01_27_14_08.ano.eswc,0,[],R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\pre_18458_00374_DYJ_YW_DYJ_YW_stamp_2021_01_27_14_09.ano.eswc,0,[],R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\pre_18464_00077_YLL_WYP_YLL_WYP_stamp_2021_01_27_14_09.ano.eswc,2,"[2716, 10379]",R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\pre_18464_00086_YLL_WYP_YLL_WYP_stamp_2021_01_27_15_03.ano.eswc,2,"[5461, 5985]",R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\pre_18464_00087_YLL_LJ&SYY_YLL_LJ&SYY_stamp_2021_01_27_14_08.ano.eswc,2,"[2863, 4778]",R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\pre_18464_00099_YLL_WYP_stamp_2021_01_27_14_07.ano.eswc,1,[1483],R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\pre_18464_00102_YLL_WYP_YLL_WYP_stamp_2021_01_27_14_07.ano.eswc,0,[],R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\pre_18464_00103_YLL_WYP_stamp_2021_01_27_14_07.ano.eswc,0,[],R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\pre_18464_00138_YLL_WYP_stamp_2021_01_27_14_06.ano.eswc,0,[],R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\pre_18464_00159_YLL_LJ&SYY_YLL_LJ&SYY_stamp_2021_01_27_14_05.ano.eswc,2,"[3344, 9510]",R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\pre_18464_00163_YLL_WYP_YLL_WYP_stamp_2021_01_27_14_05.ano.eswc,2,"[802, 3978]",R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\pre_18464_00168_YLL_WYP_YLL_WYP_stamp_2021_01_27_14_57.ano.eswc,0,[],R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\pre_18464_00169_YLL_LJ&SYY_YLL_SYY&LJ_YLL_SYY&LJ_stamp_2021_01_27_14_04.ano.eswc,1,[993],R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\pre_18464_00180_YLL_LJ&SYY_YLL_LJ&SYY_stamp_2021_01_27_14_04.ano.eswc,3,"[1595, 1869, 2204]",R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\pre_18464_00182_YLL_LJ&SYY_YLL_LJ&SYY_stamp_2021_01_27_14_03.ano.eswc,2,"[3651, 5082]",R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\pre_18465_00102_YLL_LJ&SYY_YLL_LJ&SYY_stamp_2021_01_27_14_03.ano.eswc,0,[],R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\pre_18465_00267_CX_YW_CX_YLL_stamp_2021_01_27_14_01.ano.eswc,0,[],R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\pre_18465_00268_CX_YW_CX_YW_CX_YW_stamp_2021_01_27_14_47.ano.eswc,0,[],R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\pre_18465_00366_YLL_LJ&SYY_YLL_LJ&SYY_stamp_2021_01_27_14_02.ano.eswc,0,[],R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\pre_18465_00367_YLL_LJ&SYY_YLL_SYY&LJ_stamp_2021_01_27_14_01.ano.eswc,1,[217],R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\pre_18465_00368_YLL_LJ&SYY_YLL_SYY&LJ_stamp_2021_01_27_14_01.ano.eswc,0,[],R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\pre_18465_00369_YLL_LJ&SYY_YLL_SYY&LJ_stamp_2021_01_27_14_00.ano.eswc,0,[],R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\pre_18465_00370_YLL_LJ&SYY_YLL_LJ&SYY_stamp_2021_01_27_14_45.ano.eswc,0,[],R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\pre_18465_00371_YLL_LJ&SYY_YLL_LJ&SYY_stamp_2021_01_27_13_58.ano.eswc,0,[],R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\pre_18465_00373_YLL_LJ&SYY_YLL_LJ&SYY_stamp_2021_01_27_14_37.ano.eswc,0,[],R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\pre_18467_00104_LJ_WYP_LJ_WYP_LJ_WYP_stamp_2021_05_13_09_53.ano.eswc,0,[],R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\pre_18467_00342_CX_LJ_CX_LJ_stamp_2021_05_13_15_10.ano.eswc,5,"[3018, 20777, 26033, 28625, 30009]",R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\pre_18467_00495_LJ_WYP_LJ_WYP_LJ_WYP_stamp_2021_05_13_09_50.ano.eswc,7,"[4807, 9911, 23922, 29163, 48540, 52230, 52390]",R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\pre_18469_00001_SYY_YLL_SYY_YLL_stamp_2021_05_11_14_31.ano.eswc,2,"[50897, 51279]",R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\pre_18469_00002_YLL_CX_YLL_CX_YLL_CX_stamp_2021_05_12_11_16.ano.eswc,13,"[1034, 1048, 1061, 31024, 31297, 34750, 42019, 47308, 50747, 54107, 54671, 55070, 60148]",R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\pre_18469_00086_LJ_WYP_LJ_WYP_stamp_2021_05_12_20_05.ano.eswc,20,"[5469, 7491, 11594, 14095, 28426, 31668, 34805, 49332, 50449, 64431, 74159, 77407, 92652, 104515, 110998, 118165, 120732, 123533, 125018, 129379]",R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\pre_18864_00003_CX_LJ_CX_LJ_stamp_2021_05_13_14_29.ano.eswc,2,"[6295, 34252]",R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\pre_18864_00008_SYY_YLL_SYY_YLL_stamp_2021_05_11_14_36.ano.eswc,2,"[1444, 25606]",R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\pre_18864_00012_SYY_YLL_SYY_YLL_stamp_2021_05_11_14_38.ano.eswc,2,"[1560, 5708]",R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\pre_18864_00014_SYY_YLL_SYY_YLL_stamp_2021_05_11_15_01.ano.eswc,6,"[794, 1390, 23113, 23679, 36270, 47564]",R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\pre_18864_00016_SYY_YLL_SYY_YLL_stamp_2021_05_11_15_03.ano.eswc,3,"[3392, 12278, 27916]",R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\pre_18864_00018_YLL_CX_YLL_CX_stamp_2021_05_13_14_22.ano.eswc,7,"[1796, 2766, 7164, 14366, 21634, 24505, 29883]",R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\pre_18864_00021_LJ_SYY_LJ_SYY_stamp_2021_05_12_17_34.ano.eswc,2,"[41153, 47729]",R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\pre_18864_00025_CX_LJ_CX_LJ_CX_LJ_stamp_2021_05_13_14_34.ano.eswc,10,"[735, 2794, 12455, 18735, 26049, 28849, 34246, 43827, 70055, 78000]",R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\pre_18864_00026_CX_DYJ_CX_DYJ_CX_DYJ_stamp_2021_01_19_11_05.ano.eswc,11,"[1145, 4227, 6648, 7624, 13769, 14600, 17931, 28517, 31210, 48789, 49825]",R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\pre_18864_00027_CX_LJ_CX_LJ_stamp_2021_05_13_14_41.ano.eswc,4,"[478, 1099, 22135, 31349]",R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\pre_18864_00036_ZLL_YLL_ZLL_YLL_ZLL_YLL_stamp_2021_01_19_11_39.ano.eswc,3,"[3481, 12870, 14709]",R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\pre_18864_00038_SYY_LJ_SYY_LJ_stamp_2021_01_14_15_59.ano.eswc,7,"[9544, 19101, 21278, 21989, 44076, 57593, 65531]",R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\pre_18864_00039_CX_LJ_CX_LJ_CX_LJ_stamp_2021_05_13_14_44.ano.eswc,11,"[244, 626, 729, 4091, 4442, 5076, 5965, 7672, 14877, 14887, 38765]",R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\pre_18864_00042_LJ_WYP_LJ_WYP_stamp_2021_05_12_17_42.ano.eswc,8,"[1143, 4432, 11356, 36528, 43191, 43357, 51445, 64574]",R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\pre_18864_00043_CX_DYJ_CX_DYJ_CX_DYJ_stamp_2021_01_18_17_45.ano.eswc,7,"[176, 7140, 27355, 32330, 50143, 53277, 53997]",R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\pre_18864_00044_YLL_CX_YLL_CX_YLL_CX_stamp_2021_05_12_11_06.ano.eswc,4,"[21836, 22934, 23581, 25137]",R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\pre_18864_00046_CX_LJ_CX_LJ_CX_LJ_stamp_2021_05_13_14_48.ano.eswc,6,"[2235, 2712, 5803, 7995, 12038, 15767]",R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\pre_18864_00048_YLL_CX_YLL_CX_stamp_2021_05_12_11_07.ano.eswc,2,"[3791, 14862]",R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\pre_18864_00051_SYY_YLL_SYY_YLL_stamp_2021_05_11_15_05.ano.eswc,2,"[12689, 58139]",R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\pre_18864_00059_SYY_LJ_SYY_LJ_stamp_2021_01_19_11_05.ano.eswc,7,"[1252, 6181, 8070, 8078, 34739, 62211, 64449]",R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\pre_18864_00060_YLL_CX_YLL_CX_stamp_2021_05_12_11_07.ano.eswc,2,"[4424, 12623]",R165
Z:\SEU-ALLEN\Projects\fullNeurons\V2022_08_10\manual_final\R165\pre_18864_00062_WYP_DYJ_WYP_DYJ_WYP_DYJ_WYP_stamp_2021_01_19_14_51.ano.eswc,12,"[237, 1136, 1258, 2907, 15214, 29123, 32096, 38330, 47510, 49912, 56709, 61336]",R165
